COIN;	timeOpen;	timeClose;	timeHigh;	timeLow;	OPEN;			HIGH;			LOW;			CLOSE;			VOLUME
ETH;	5/3/2024;	5/3/2024;	5/3/2024;	5/3/2024;	2988.134623;	3127.155373;	2960.182191;	3103.542109;	12862183229
ETH;	5/4/2024;	5/4/2024;	5/4/2024;	5/4/2024;	3103.619572;	3167.541145;	3096.267604;	3117.576531;	8283229638
ETH;	5/5/2024;	5/5/2024;	5/5/2024;	5/5/2024;	3117.636872;	3170.055119;	3075.586169;	3137.248918;	8783447639
ETH;	5/6/2024;	5/6/2024;	5/6/2024;	5/6/2024;	3137.510143;	3220.152342;	3048.238614;	3062.728675;	13008587255
ETH;	5/7/2024;	5/7/2024;	5/7/2024;	5/7/2024;	3062.75095;		3129.08129;		3003.013616;	3006.577114;	11743187337
ETH;	5/8/2024;	5/8/2024;	5/8/2024;	5/8/2024;	3006.315715;	3037.196016;	2938.472761;	2973.657244;	11791662158
ETH;	5/9/2024;	5/9/2024;	5/9/2024;	5/9/2024;	2973.971683;	3057.958361;	2951.22396;		3036.020583;	10861947179
ETH;	5/10/2024;	5/10/2024;	5/10/2024;	5/10/2024;	3036.231258;	3052.729459;	2881.000634;	2909.791147;	12278653601
ETH; 	5/11/2024;	5/11/2024;	5/11/2024;	5/11/2024;	2909.84551;		2942.178664;	2888.083369;	2911.602056;	6795916454
ETH;	5/12/2024;	5/12/2024;	5/12/2024;	5/12/2024;	2911.65822;		2953.047466;	2902.201951;	2928.702013;	5908941395
ETH;	5/13/2024;	5/13/2024;	5/13/2024;	5/13/2024;	2928.814051;	2994.869213;	2865.134481;	2949.359561;	13352264795
ETH;	5/14/2024;	5/14/2024;	5/14/2024;	5/14/2024;	2949.213176;	2959.546555;	2863.545842;	2881.158053;	12444516140
ETH;	5/15/2024;	5/15/2024;	5/15/2024;	5/15/2024;	2881.224634;	3041.602315;	2864.735445;	3037.056645;	14666902956
ETH;	5/16/2024;	5/16/2024;	5/16/2024;	5/16/2024;	3036.01423;		3041.807099;	2925.087365;	2945.131066;	13035465176
ETH;	5/17/2024;	5/17/2024;	5/17/2024;	5/17/2024;	2945.137079;	3120.301724;	2934.112497;	3094.118761; 	14449438097
ETH;	5/18/2024;	5/18/2024;	5/18/2024;	5/18/2024;	3094.553361;	3146.790588;	3087.704389;	3122.949062; 	9407051320
ETH;	5/19/2024;	5/19/2024;	5/19/2024;	5/19/2024;	3122.824669;	3137.148401;	3056.754317;	3071.842949;	8747800800
ETH;	5/20/2024;	5/20/2024;	5/20/2024;	5/20/2024;	3071.8588;		3690.805788;	3050.29782;		3663.855571;	31228143948
ETH;	5/21/2024;	5/21/2024;	5/21/2024;	5/21/2024;	3663.011327;	3837.372765;	3628.096515;	3789.312821;	37643853967
ETH;	5/22/2024;	5/22/2024;	5/22/2024;	5/22/2024;	3789.372745;	3810.94839;		3655.075231;	3737.217868;	25155809461
ETH;	5/23/2024;	5/23/2024;	5/23/2024;	5/23/2024;	3737.178371;	3943.553877;	3552.642689;	3776.927298;	45623656317
ETH;	5/24/2024;	5/24/2024;	5/24/2024;	5/24/2024;	3776.99231;		3825.122627;	3631.99031;		3726.934551;	22257061429
ETH;	5/25/2024;	5/25/2024;	5/25/2024;	5/25/2024;	3726.975696;	3776.006471;	3710.528344;	3749.236571;	10000027764
ETH;	5/26/2024;	5/26/2024;	5/26/2024;	5/26/2024;	3749.179903;	3879.47076;		3732.022855;	3825.897552;	14650794791
ETH;	5/27/2024;	5/27/2024;	5/27/2024;	5/27/2024;	3826.127215;	3973.556438;	3821.93039;		3892.006734;	18949181813
ETH;	5/28/2024;	5/28/2024;	5/28/2024;	5/28/2024;	3892.096913;	3924.895646;	3771.213897;	3840.256432;	19846044324
ETH;	5/29/2024;	5/29/2024;	5/29/2024;	5/29/2024;	3840.235098;	3880.648384;	3742.041231;	3763.196457;	17411416736
ETH;	5/30/2024;	5/30/2024;	5/30/2024;	5/30/2024;	3763.357546;	3823.643396;	3702.263555;	3746.84972;		15065849797
ETH;	5/31/2024;	5/31/2024;	5/31/2024;	5/31/2024;	3746.861608;	3843.857589;	3723.835197;	3760.026686;	15290700646
